Filename,Artifact,Black,Blue,Colorless,Creature,Enchantment,Green,InstantSorcery,Land,Planeswalker,Red,White
parl_1,0,0,0,0,0,0,0,0,1,0,0,1
pcy_142,0,0,0,1,0,0,0,0,1,0,0,0
ons_159,0,1,0,0,1,0,0,0,0,0,0,0
cn2_15,0,0,0,0,1,0,0,0,0,0,0,1
mir_347,0,0,0,0,0,0,1,0,1,0,0,0
dom_251,0,0,0,0,0,0,0,0,1,0,0,1
mp2_42,0,1,0,0,0,0,0,1,0,0,0,0
bbd_38,0,0,1,0,0,0,0,1,0,0,0,0
sth_118,0,0,0,0,1,0,1,0,0,0,0,0
akh_170,0,0,0,0,0,0,1,1,0,0,0,0
avr_30,0,0,0,0,1,0,0,0,0,0,0,1
rix_67,0,1,0,0,1,0,0,0,0,0,0,0
ori_239,1,0,0,1,0,0,0,0,0,0,0,0
drk_82,0,0,0,0,1,0,1,0,0,0,0,0
bfz_80,0,0,1,0,0,0,0,1,0,0,0,0
usg_233,0,0,0,0,1,0,1,0,0,0,0,0
eve_58,0,0,0,0,1,0,0,0,0,0,1,0
avr_96,0,1,0,0,1,0,0,0,0,0,0,0
rix_176_front,1,0,0,1,0,0,0,0,0,0,0,0
pmbs_*14,0,0,0,0,1,0,0,0,0,0,0,1
c19_86,0,0,1,0,0,0,0,1,0,0,0,0
kld_91,0,1,0,0,1,0,0,0,0,0,0,0
7ed_154,0,1,0,0,0,0,0,1,0,0,0,0
g18_GP5,0,0,0,0,1,0,1,0,0,0,0,0
all_3,0,0,0,0,0,0,0,1,0,0,0,1
inv_138,0,0,0,0,0,0,0,1,0,0,1,0
mmq_1,0,0,0,0,0,0,0,1,0,0,0,1
m11_125,0,0,0,0,1,0,0,0,0,0,1,0
brb_102,0,0,0,0,0,0,1,0,1,0,0,0
dtk_174,0,0,0,0,1,0,1,0,0,0,0,0
inv_177,0,0,0,0,0,0,0,1,0,0,1,0
eld_323,0,0,0,0,1,0,1,0,0,0,0,0
akh_181,0,0,0,0,1,0,1,0,0,0,0,0
jou_37,0,0,1,0,0,1,0,0,0,0,0,0
ons_236,0,0,0,0,1,0,0,0,0,0,1,0
m12_218,1,0,0,1,0,0,0,0,0,0,0,0
c16_2,0,0,0,0,0,0,0,1,0,0,0,1
zen_184,0,0,0,0,0,0,1,1,0,0,0,0
gtc_89,0,0,0,0,1,0,0,0,0,0,1,0
mmq_60,0,0,1,0,1,0,0,0,0,0,0,0
drk_80,0,0,0,0,1,0,1,0,0,0,0,0
ody_92,0,0,1,0,0,1,0,0,0,0,0,0
dom_111,0,1,0,0,1,0,0,0,0,0,0,0
m15_117,0,1,0,0,0,0,0,1,0,0,0,0
p05_5,0,0,1,0,0,0,0,1,0,0,0,0
jou_96,0,0,0,0,0,0,0,1,0,0,1,0
pf19_4,0,1,0,0,0,0,0,0,1,0,0,0
rav_80,0,1,0,0,0,1,0,0,0,0,0,0
nph_54,0,1,0,0,1,0,0,0,0,0,0,0
mir_73,0,0,1,0,0,0,0,1,0,0,0,0
eld_110,1,1,0,0,0,0,0,0,0,0,0,0
mir_65,0,0,1,0,0,0,0,1,0,0,0,0
dis_45,0,1,0,0,1,0,0,0,0,0,0,0
mrd_122,0,0,0,0,0,1,1,0,0,0,0,0
